country,code,year,month,date,gasoline_price_usd_liter
Azerbaijan,AZE,2020,5,2020-05-03,0.5875357809290586
Azerbaijan,AZE,2020,6,2020-06-03,0.5882352941176471
Azerbaijan,AZE,2020,7,2020-07-03,0.5882352941176471
Azerbaijan,AZE,2020,8,2020-08-03,0.5881858173106616
Azerbaijan,AZE,2020,9,2020-09-03,0.5885815185403178
Azerbaijan,AZE,2020,10,2020-10-03,0.5884713749869065
Azerbaijan,AZE,2020,11,2020-11-03,0.58825190358316
Azerbaijan,AZE,2020,12,2020-12-03,0.588400738560607
Azerbaijan,AZE,2021,1,2021-01-03,0.5882681679270312
Azerbaijan,AZE,2021,2,2021-02-03,0.5876476464711758
Azerbaijan,AZE,2021,3,2021-03-03,0.5878594098949671
Azerbaijan,AZE,2021,4,2021-04-03,0.5876383227156883
Azerbaijan,AZE,2021,5,2021-05-03,0.5879060667202837
Azerbaijan,AZE,2021,6,2021-06-03,0.5884713749869065
Azerbaijan,AZE,2021,7,2021-07-03,0.5877481546177316
Azerbaijan,AZE,2021,8,2021-08-03,0.5878580275834744
Azerbaijan,AZE,2021,9,2021-09-03,0.5879050298214826
Azerbaijan,AZE,2021,10,2021-10-03,0.5878072321450614
Azerbaijan,AZE,2021,11,2021-11-03,0.5879523852640318
Azerbaijan,AZE,2021,12,2021-12-03,0.5880924222527115
Azerbaijan,AZE,2022,1,2022-01-03,0.5888126769014086
Azerbaijan,AZE,2022,2,2022-02-03,0.5894488653109343
Azerbaijan,AZE,2022,3,2022-03-03,0.5895923970881211
Azerbaijan,AZE,2022,4,2022-04-03,0.5895812734837591
Azerbaijan,AZE,2022,5,2022-05-03,0.5895593751142271
Azerbaijan,AZE,2022,6,2022-06-03,0.589843832946789
Azerbaijan,AZE,2022,7,2022-07-03,0.5901445854234287
Azerbaijan,AZE,2022,8,2022-08-03,0.5898191319631835
Azerbaijan,AZE,2022,9,2022-09-03,0.5898678401104233
Azerbaijan,AZE,2022,10,2022-10-03,0.5896970490380272
Azerbaijan,AZE,2022,11,2022-11-03,0.5893936259436929
Azerbaijan,AZE,2022,12,2022-12-03,0.589204014836157
Azerbaijan,AZE,2023,1,2023-01-03,0.5893067925268827
Azerbaijan,AZE,2023,2,2023-02-03,0.5890842685046096
Azerbaijan,AZE,2023,3,2023-03-01,0.5888528968912689
Azerbaijan,AZE,2023,4,2023-04-01,0.5891102961752014
Azerbaijan,AZE,2023,5,2023-05-01,0.5889583270756511
Azerbaijan,AZE,2023,6,2023-06-01,0.5888019293861623
Azerbaijan,AZE,2023,7,2023-07-01,0.5888785573417551
Azerbaijan,AZE,2023,8,2023-08-01,0.5890263218192432
Azerbaijan,AZE,2023,9,2023-09-01,0.5889281507656066
Azerbaijan,AZE,2023,10,2023-10-01,0.5887863288524731
Azerbaijan,AZE,2023,11,2023-11-01,0.5884083553986467
Azerbaijan,AZE,2023,12,2023-12-01,0.588375465919822
Azerbaijan,AZE,2024,1,2024-01-01,0.5883103902086325
